name,hexWidth,hexHeight,cells,boardState,encounterDefBytes,encounterDefCount
combat_darkambush6,16,20,320,206,13456,1
combat_darkambush7,16,20,320,199,11208,1
combat_darkambush8,16,20,320,199,11292,1
combat_darkambush9,16,20,320,199,11408,1
combat_darkarmycheckpoint,16,20,320,226,19980,1
combat_darkpitcliff,16,20,320,288,23388,1
combat_darkwoods,16,20,320,176,21500,1
combat_deadlock,16,20,320,227,19364,1
combat_deadtree,16,20,320,192,18904,1
combat_dealbreaker,16,20,320,229,13804,1
combat_deepweb,16,20,320,245,27704,1
combat_demo1,16,20,320,195,13108,1
combat_demo2,16,20,320,216,14276,1
combat_demo3,16,20,320,267,5764,1
combat_demo4,16,20,320,216,21648,1
combat_demo5,16,20,320,245,22168,1
combat_demo7,16,20,320,202,13592,1
combat_demo8,16,20,320,273,23500,1
combat_demo9,16,20,320,216,15192,1
combat_demonecronomicon,16,20,320,251,12072,1
combat_demosnow2,16,20,320,267,9196,1
combat_desecratedtemple,16,20,320,235,16820,1
combat_dieanotherday,16,20,320,231,20132,1
combat_distresscall,16,20,320,264,19008,1
combat_downunder,16,20,320,239,14532,1
combat_drumspearskirmish,16,20,320,287,20168,1
combat_dungeonspiders_01,13,20,260,148,15592,1
combat_dungeonspiders_02,10,20,200,147,14292,1
combat_dungeonspiders_03,16,20,320,216,22220,1
combat_emergentforest1,16,20,320,224,18992,1
combat_emergentforest10,16,20,320,271,16640,1
combat_emergentforest2,16,20,320,188,18040,1
combat_emergentforest3,16,20,320,213,18740,1
combat_emergentforest4,16,20,320,234,13716,1
combat_emergentforest5,16,20,320,266,17104,1
combat_emergentforest6,16,20,320,224,20272,1
combat_emergentforest7,16,20,320,203,20852,1
combat_emergentforest8,16,20,320,231,21452,1
combat_emergentforest9,16,20,320,232,15732,1
combat_emergentmountain1,16,20,320,276,18796,1
combat_emergentmountain10,16,20,320,261,19076,1
combat_emergentmountain2,16,20,320,258,20744,1
combat_emergentmountain3,16,20,320,273,23180,1
combat_emergentmountain4,16,20,320,258,17840,1
combat_emergentmountain5,16,20,320,261,19432,1
combat_emergentmountain6,16,20,320,277,21264,1
combat_emergentmountain7,16,20,320,259,19300,1
combat_emergentmountain8,16,20,320,263,23848,1
combat_emergentmountain9,16,20,320,259,17296,1
combat_emergentsilveroak1,16,20,320,252,16792,1
combat_emergentsilveroak10,16,20,320,233,19760,1
combat_emergentsilveroak2,16,20,320,269,22268,1
combat_emergentsilveroak3,16,20,320,241,18536,1
combat_emergentsilveroak4,16,20,320,253,19468,1
combat_emergentsilveroak5,16,20,320,242,30080,1
combat_emergentsilveroak6,16,20,320,255,17460,1
combat_emergentsilveroak7,16,20,320,270,16920,1
combat_emergentsilveroak8,16,20,320,226,20320,1
combat_emergentsilveroak9,16,20,320,251,17056,1
combat_emergentwasteland1,16,20,320,255,20464,1
combat_emergentwasteland10,16,20,320,258,17272,1
combat_emergentwasteland2,16,20,320,260,17752,1
combat_emergentwasteland3,16,20,320,264,17376,1
combat_emergentwasteland4,16,20,320,247,18176,1
combat_emergentwasteland5,16,20,320,254,15200,1
combat_emergentwasteland6,16,20,320,255,20716,1
combat_emergentwasteland7,16,20,320,260,18608,1
combat_emergentwasteland8,16,20,320,256,17288,1
combat_emergentwasteland9,16,20,320,253,16944,1
combat_evergreenglade,16,20,320,304,23176,1
combat_eyeswithoutface,16,20,320,250,22036,1
combat_eyewithoutface,16,20,320,218,8424,1
combat_eyeworshippers,16,20,320,231,18944,1
combat_farmvillains,16,20,320,250,19988,1
combat_faunalineup,16,20,320,166,20916,1
combat_fierypassage,16,20,320,229,19760,1
combat_firevillage,16,20,320,255,17520,1
combat_flowergarden,16,20,320,193,29920,1
combat_forgottenpath,16,20,320,262,17608,1
combat_franticfanatics,16,20,320,230,18256,1
combat_frostbitten,16,20,320,279,22784,1
combat_frostsages,16,20,320,279,20436,1
combat_frostywebs,16,20,320,290,30732,1
combat_frozenstrait,16,20,320,286,17348,1
combat_fungivitis,16,20,320,256,25276,1
combat_furelysium,16,20,320,285,17236,1
combat_ghosttown,16,20,320,227,17888,1
combat_glaciers,16,20,320,235,4832,1
combat_glarewhere,16,20,320,225,20360,1
combat_goblinband,16,20,320,186,17060,1
combat_goblinpillagers,16,20,320,227,14584,1
combat_goblinraid,16,20,320,214,20052,1
combat_goblinraidsafe,16,20,320,202,19724,1
combat_graytusktwins,16,20,320,182,15568,1
combat_greenblockade,16,20,320,249,14720,1
combat_hamlet,16,20,320,253,15696,1
combat_hardradacaught,16,20,320,254,14304,1
combat_hardradahard,16,20,320,254,15148,1
combat_hardradasurprise,16,20,320,254,15236,1
combat_heatwave,16,20,320,211,15924,1
combat_hideout,16,20,320,219,22412,1
combat_hillshaveeyes,16,20,320,272,17544,1
combat_hotrocking,16,20,320,237,14916,1
combat_hotsprings,16,20,320,230,13252,1
combat_howlingpeak,16,20,320,275,20140,1
combat_icybrook,16,20,320,302,20672,1
combat_infestedgrounds,16,20,320,223,28676,1
combat_initiate,16,20,320,216,21580,1
combat_intoaspidermess,13,20,260,209,18096,1
combat_invadedfort,16,20,320,218,12104,1
combat_joacotest,16,20,320,187,584,1
combat_joustinggrounds,16,20,320,258,18016,1
combat_krajkamp,16,20,320,285,17756,1
combat_krajkampnew,16,20,320,261,23548,1
combat_krumcoliseum,20,24,480,377,45332,1
combat_krumcoliseum_thony,20,22,440,378,24192,1
combat_krumcoliseum_thony02,20,24,480,464,42304,1
combat_krumcoliseum_wip,20,24,480,377,45596,1
combat_krumthrone,20,22,440,309,20540,1
combat_layout_arena_10,20,24,480,348,43440,1
combat_layout_arena_11,20,24,480,355,43696,1
combat_layout_arena_12,20,24,480,341,43548,1
combat_layout_arena_13,20,24,480,346,42856,1
combat_layout_arena_14,20,24,480,354,44356,1
combat_layout_arena_15,20,24,480,346,45016,1
combat_layout_arena_16,20,24,480,368,45416,1
combat_layout_arena_17,20,24,480,354,43436,1
combat_layout_arena_18,20,24,480,350,43240,1
combat_layout_arena_19,20,24,480,372,41320,1
combat_layout_arena_2,20,24,480,349,47792,1
combat_layout_arena_20,20,24,480,363,48040,1
combat_layout_arena_21,20,24,480,350,43048,1
combat_layout_arena_22,20,24,480,370,45352,1
combat_layout_arena_23,20,24,480,374,45224,1
combat_layout_arena_24,20,24,480,388,46184,1
combat_layout_arena_25,20,24,480,363,44392,1
combat_layout_arena_26,20,24,480,386,42344,1
combat_layout_arena_3,20,24,480,379,48640,1
combat_layout_arena_31,20,24,480,367,45288,1
combat_layout_arena_4,20,24,480,350,44328,1
combat_layout_arena_5,20,24,480,361,43904,1
combat_layout_arena_6,20,24,480,347,44120,1
combat_layout_arena_7,20,24,480,361,43816,1
combat_layout_arena_8,20,24,480,354,42092,1
combat_layout_arena_9,20,24,480,345,43496,1
combat_lifegiver,16,20,320,228,16036,1
combat_lootcave,16,20,320,197,16348,1
combat_lordofthelies,16,20,320,236,15868,1
combat_lostalpha,16,20,320,214,18260,1
combat_lostwoods,16,20,320,259,19120,1
combat_lumberjack,16,20,320,224,18024,1
combat_maliceandfire,16,20,320,225,18456,1
combat_matriarchentangle,16,20,320,257,21148,1
combat_meltingpass,16,20,320,290,16292,1
combat_messagecrystal,16,20,320,210,13416,1
combat_misctesting,16,20,320,137,1480,1
combat_moltenpass,16,20,320,256,13492,1
combat_mossyruins,16,20,320,267,18364,1
combat_mycelialgrounds,16,20,320,260,19644,1
combat_necronomicon,16,20,320,251,12072,1
combat_new_tilemap,16,20,320,168,2320,1
combat_new_tilemap2,16,20,320,168,2320,1
combat_obelisk,16,20,320,189,14156,1
combat_obeliskeasy,16,20,320,161,11508,1
combat_obeliskhard,16,20,320,170,11640,1
combat_obelisknormal,16,20,320,174,12336,1
combat_oculussinister,16,20,320,244,18628,1
combat_ogreargue,16,20,320,219,17700,1
combat_oldbarktree,16,20,320,294,22364,1
combat_orc_enzoprueba1,16,20,320,175,17964,1
combat_orcambush,16,20,320,161,12196,1
combat_orcambush2,16,20,320,184,15648,1
combat_orcambush2_1,16,20,320,207,15908,1
combat_orcambush2_2,16,20,320,209,16312,1
combat_orcambush2_3,16,20,320,181,15992,1
combat_orcambush2_4,16,20,320,210,15800,1
combat_orcambush_1,16,20,320,194,13608,1
combat_orcambush_2,16,20,320,186,13096,1
combat_orcambush_3,16,20,320,189,13680,1
combat_orcambush_4,16,20,320,204,13808,1
combat_orccamp,16,20,320,195,14340,1
combat_orccamp_surprise,16,20,320,195,13552,1
combat_orcfishing,16,20,320,280,15388,1
combat_orcfishing2,16,20,320,280,15388,1
combat_orcfishing3,16,20,320,280,16176,1
combat_orcfishing_new,16,20,320,292,14748,1
combat_orcfollowedambush,16,20,320,174,11064,1
combat_orcishdeforestation,16,20,320,280,18676,1
combat_orckennels,16,20,320,231,21488,1
combat_orclineup,16,20,320,154,16000,1
combat_orclooters,16,20,320,174,15452,1
combat_orclooters_1,16,20,320,220,16832,1
combat_orclooters_2,16,20,320,205,16704,1
combat_orclooters_3,16,20,320,214,16560,1
combat_orclooters_4,16,20,320,209,16304,1
combat_orcpalisade,16,20,320,204,18848,1
combat_orcparty,16,20,320,205,16036,1
combat_orcpartyambush,16,20,320,173,8968,1
combat_orcpatrol,16,20,320,165,13060,1
combat_orcpatrol2,16,20,320,165,13196,1
combat_orcpatrol3,16,20,320,165,13204,1
combat_orcrest,16,20,320,197,17728,1
combat_orcsfishing,16,20,320,258,10528,1
combat_orczogbridge,16,20,320,266,16312,1
combat_orczogcamp_1,16,20,320,240,19952,1
combat_orczogcamp_12,16,20,320,225,20216,1
combat_orczogcamp_13,16,20,320,226,20224,1
combat_orczogcamp_2,16,20,320,200,16308,1
combat_orczogcamp_22,16,20,320,185,16008,1
combat_orczogcamp_23,16,20,320,186,16180,1
combat_orczogcamp_3,16,20,320,213,18172,1
combat_orczogcamp_32,16,20,320,212,18396,1
combat_orczogcamp_33,16,20,320,232,18396,1
combat_orczogcamp_4,16,20,320,196,13968,1
combat_orczogcamp_5,16,20,320,214,15684,1
combat_orczogthrone,16,20,320,218,18560,1
combat_orczogthrone2,16,20,320,218,18704,1
combat_orczogthrone3,16,20,320,218,18704,1
combat_pagrasnew,16,20,320,156,16148,1
combat_pagrasnew2,16,20,320,124,12968,1
combat_pagrasnew3,16,20,320,148,12556,1
combat_peekagoon,16,20,320,224,17220,1
combat_poisongarden,16,20,320,193,25792,1
combat_pondfarm,16,20,320,251,17948,1
combat_pruebajuan,16,20,320,247,8916,1
combat_pruebajuan_bridge,16,20,320,221,2020,1
combat_pruebajuan_cinematicstest,16,20,320,141,2376,1
combat_pruebajuan_dancingwithwulves,16,20,320,187,8808,1
combat_pruebajuan_swampmaws,16,20,320,219,14668,1
combat_pruebajuan_vinefieldforever,16,20,320,243,12492,1
combat_pruebajuan_vinevidivinci,16,20,320,219,14892,1
combat_pruebajuan_vinevidivinci_v2,16,20,320,249,16456,1
combat_pumpkinpatch,16,20,320,264,31988,1
combat_quarry,16,20,320,241,20860,1
combat_raidingparty,16,20,320,206,21084,1
combat_random1,16,20,320,183,14736,1
combat_rattlinghorde,16,20,320,225,17696,1
combat_reinforcementscall,16,20,320,290,24048,1
combat_rescuegeneral,16,20,320,192,18488,1
combat_ringoffire,16,20,320,234,16152,1
combat_roadblockcamp,16,20,320,254,16100,1
combat_rockypath,16,20,320,273,21972,1
combat_rockyruckus,16,20,320,256,20704,1
combat_rootscave,16,20,320,258,25596,1
combat_rottingham,16,20,320,222,15928,1
combat_saveyourelf,16,20,320,282,18128,1
combat_sheepclothing,16,20,320,273,23272,1
combat_shipwreck,16,20,320,261,17696,1
combat_show,16,20,320,190,11180,1
combat_shrine,16,20,320,259,22276,1
combat_silveroakbf,20,24,480,355,27556,1
combat_silveroakbfdev,20,24,480,384,24168,1
combat_skilltestforest1,16,20,320,217,13596,1
combat_skilltestmountain1,16,20,320,219,15140,1
combat_skilltestwasteland1,16,20,320,238,11312,1
combat_smokeonthelava,16,20,320,246,17468,1
combat_snow1,16,20,320,267,5844,1
combat_snow10_thony,16,20,320,291,20256,1
combat_snow11,16,20,320,242,23728,1
combat_snow12,16,20,320,244,14336,1
combat_snow13,16,20,320,253,10528,1
combat_snow14,16,20,320,250,10876,1
combat_snow15,16,20,320,267,16688,1
combat_snow16,16,20,320,276,15100,1
combat_snow17,16,20,320,279,11228,1
combat_snow2,16,20,320,267,9512,1
combat_snow3,16,20,320,259,11276,1
combat_snow4,16,20,320,251,11312,1
combat_snow5,16,20,320,274,20644,1
combat_snow6,16,20,320,242,17212,1
combat_snow7,16,20,320,214,13860,1
combat_snow8,16,20,320,285,17756,1
combat_snow9_thony,16,20,320,257,19984,1
combat_snowpileheights,16,20,320,284,22580,1
combat_soulpact,16,20,320,254,6420,1
combat_spidercave,16,20,320,240,25484,1
combat_spiderquest,16,20,320,253,31972,1
combat_spiderwoods,16,20,320,211,22416,1
combat_sticksandstones,16,20,320,256,16180,1
combat_stormcloud_test,16,20,320,636,11448,1
combat_stormcloud_test_thony,16,20,320,692,25968,1
combat_stormcloudmbf,23,28,644,668,31416,1
combat_stormcloudmbf_tony,23,28,644,798,26808,1
combat_swampinvaders,16,20,320,261,18096,1
combat_talesfromthecrypt,16,20,320,263,18184,1
combat_tavernbrawl,16,20,320,313,9804,1
combat_taverninside,16,20,320,324,12928,1
combat_tellnotales,16,20,320,251,19168,1
combat_templerush,16,20,320,286,20160,1
combat_tentacledebacle,16,20,320,230,21492,1
combat_test,16,20,320,185,12084,1
combat_testarena_base,20,24,480,327,41196,1
combat_testarena_ja_1,20,24,480,385,46836,1
combat_testarena_ja_2,20,24,480,346,47900,1
combat_testarena_ja_3,20,24,480,388,45536,1
combat_testingendturn,16,20,320,235,1420,1
combat_testtilecobblestone,16,20,320,235,6844,1
combat_testyourmight,16,20,320,247,15452,1
combat_thirdeye,16,20,320,240,20828,1
combat_totem,16,20,320,245,18800,1
combat_townbrawltavern,16,20,320,292,16672,1
combat_townbrawltrolls,16,20,320,289,17768,1
combat_townbrawlyeti,16,20,320,306,15228,1
combat_tradingpost,16,20,320,262,19128,1
combat_treeforce,16,20,320,244,14764,1
combat_trolloutpost,16,20,320,257,19984,1
combat_trolloutpostraid,16,20,320,276,19896,1
combat_tutbreach,16,20,320,327,19148,1
combat_tutdungeonintro,12,12,144,133,8536,1
combat_tutdungeonintrolargo,12,12,144,133,7860,1
combat_tutescape,16,20,320,301,13924,1
combat_tutescape_backup,16,20,320,292,19252,1
combat_tutmarket,16,20,320,305,22640,1
combat_tutranged,13,12,156,130,12388,1
combat_undeadend,16,20,320,229,18380,1
combat_undeadlineup,16,20,320,167,11492,1
combat_undeadredemption,16,20,320,250,19680,1
combat_undercoven,16,20,320,242,22896,1
combat_uphillcamp,16,20,320,272,15476,1
combat_verdantoffenders,16,20,320,260,14108,1
combat_villagelineup,16,20,320,199,19484,1
combat_villageperil,16,20,320,204,12752,1
combat_villageperil_1,16,20,320,256,13916,1
combat_villageperil_2,16,20,320,235,13656,1
combat_villageperil_3,16,20,320,233,13528,1
combat_villageperil_4,16,20,320,236,13988,1
combat_vinevidivinci_v2,16,20,320,249,13856,1
combat_wallofsleep,16,20,320,231,19052,1
combat_wastelandbf,15,30,450,435,2592,1
combat_wastelandbf_enzo,15,30,450,439,27920,1
combat_wastelandbf_thony,15,30,450,439,31672,1
combat_wastelandbfv2,15,30,450,439,31632,1
combat_wastelandtest,16,20,320,222,11240,1
combat_wastelandtest1,16,20,320,222,10536,1
combat_wastelandtest2,16,20,320,204,9508,1
combat_websandsplinters,16,20,320,247,19556,1
combat_webtrap,16,20,320,253,32680,1
combat_wheatfield,16,20,320,229,19420,1
combat_whitetopquarrel,16,20,320,266,32980,1
combat_wickedsprouts,16,20,320,288,19524,1
combat_wip,16,20,320,136,104,1
combat_witchesgetstitches,16,20,320,262,14808,1
combat_wolfalpha,16,20,320,232,20868,1
combat_wolfden,16,20,320,238,18632,1
combat_wolfhunt,16,20,320,185,11792,1
combat_wolfhunt_1,16,20,320,185,11968,1
combat_wolfhunt_2,16,20,320,188,12352,1
combat_wolfhunt_3,16,20,320,185,12072,1
combat_wolfhunt_4,16,20,320,188,12416,1
combat_wolfpack,16,20,320,183,14096,1
combat_wolfpack_1,16,20,320,183,14336,1
combat_wolfpack_2,16,20,320,181,14184,1
combat_wolfpack_3,16,20,320,184,14272,1
combat_wolfpack_4,16,20,320,183,14020,1
combat_wolfroad,16,20,320,217,21540,1
combat_wolfroad_1,16,20,320,163,10064,1
combat_wolfroad_2,16,20,320,165,10320,1
combat_wolfroad_3,16,20,320,163,10192,1
combat_wolfroad_4,16,20,320,164,10192,1
combat_woodhavenrock,16,20,320,300,21340,1
combat_woodscrossroad,16,20,320,270,15952,1
combat_woodscrossroads,16,20,320,293,16696,1
combat_woodyalley,16,20,320,248,14608,1
combat_zogarena,16,20,320,194,6068,1
combat_zogboss,16,20,320,190,13376,1
combat_zombietown,16,20,320,210,11552,1
combatarena_l10_1,20,24,480,377,44096,1
combatarena_l10_2,20,24,480,377,42376,1
combatarena_l10_3,20,24,480,377,43388,1
combatarena_l10_4,20,24,480,377,43744,1
combatarena_l10_5,20,24,480,377,43580,1
combatarena_l10_5_ja,20,24,480,354,46676,1
combatarena_l11_1,20,24,480,383,45200,1
combatarena_l11_2,20,24,480,383,43412,1
combatarena_l11_3,20,24,480,383,43688,1
combatarena_l11_4,20,24,480,383,43420,1
combatarena_l11_5,20,24,480,383,43624,1
combatarena_l12_1,20,24,480,369,42532,1
combatarena_l12_2,20,24,480,369,42396,1
combatarena_l12_3,20,24,480,369,42640,1
combatarena_l12_4,20,24,480,368,42164,1
combatarena_l12_5,20,24,480,369,43588,1
combatarena_l13_1,20,24,480,375,45500,1
combatarena_l13_2,20,24,480,374,44008,1
combatarena_l13_3,20,24,480,374,45536,1
combatarena_l13_4,20,24,480,373,43560,1
combatarena_l13_5,20,24,480,375,45156,1
combatarena_l14_1,20,24,480,381,44364,1
combatarena_l14_2,20,24,480,381,45060,1
combatarena_l14_3,20,24,480,381,45136,1
combatarena_l14_4,20,24,480,381,44924,1
combatarena_l14_5,20,24,480,381,46076,1
combatarena_l15_1,20,24,480,370,44028,1
combatarena_l15_2,20,24,480,370,45092,1
combatarena_l15_3,20,24,480,370,44304,1
combatarena_l15_4,20,24,480,370,43928,1
combatarena_l15_5,20,24,480,374,44240,1
combatarena_l16_ 1,20,24,480,375,50280,1
combatarena_l16_1,20,24,480,396,45976,1
combatarena_l16_2,20,24,480,396,46348,1
combatarena_l16_3,20,24,480,397,46200,1
combatarena_l16_4,20,24,480,374,46020,1
combatarena_l16_5,20,24,480,374,45876,1
combatarena_l17_1,20,24,480,380,44892,1
combatarena_l17_2,20,24,480,358,44952,1
combatarena_l17_3,20,24,480,358,45388,1
combatarena_l17_4,20,24,480,381,45052,1
combatarena_l17_5,20,24,480,380,46040,1
combatarena_l18_1,20,24,480,378,44096,1
combatarena_l18_2,20,24,480,356,44176,1
combatarena_l18_3,20,24,480,356,44616,1
combatarena_l18_4,20,24,480,356,44748,1
combatarena_l18_5,20,24,480,356,43224,1
combatarena_l19_1,20,24,480,398,43732,1
combatarena_l19_2,20,24,480,398,43668,1
combatarena_l19_3,20,24,480,398,44128,1
combatarena_l19_4,20,24,480,398,43708,1
combatarena_l19_5,20,24,480,398,42900,1
combatarena_l1_1,20,24,480,414,41924,1
combatarena_l1_2,20,24,480,414,42752,1
combatarena_l1_3,20,24,480,414,42944,1
combatarena_l1_4,20,24,480,413,41948,1
combatarena_l1_5,20,24,480,414,42100,1
combatarena_l21_1,20,24,480,353,43908,1
combatarena_l21_2,20,24,480,353,44096,1
combatarena_l21_3,20,24,480,353,43796,1
combatarena_l21_4,20,24,480,353,43848,1
combatarena_l21_5,20,24,480,353,43192,1
combatarena_l22_1,20,24,480,372,48756,1
combatarena_l22_2,20,24,480,372,48420,1
combatarena_l22_3,20,24,480,372,48484,1
combatarena_l22_4,20,24,480,372,48308,1
combatarena_l22_5,20,24,480,372,48388,1
combatarena_l2_1,20,24,480,371,44772,1
combatarena_l2_2,20,24,480,349,45176,1
combatarena_l2_3,20,24,480,371,45040,1
combatarena_l2_4,20,24,480,371,45512,1
combatarena_l2_5,20,24,480,371,46324,1
combatarena_l3_1,20,24,480,396,46588,1
combatarena_l3_2,20,24,480,397,47360,1
combatarena_l3_3,20,24,480,396,46980,1
combatarena_l3_4,20,24,480,396,47624,1
combatarena_l3_5,20,24,480,396,47336,1
combatarena_l3_test1,20,24,480,377,49536,1
combatarena_l3_test2,20,24,480,377,49420,1
combatarena_l4_1,20,24,480,377,43772,1
combatarena_l4_2,20,24,480,377,43348,1
combatarena_l4_3,20,24,480,377,43432,1
combatarena_l4_4,20,24,480,377,43952,1
combatarena_l4_5,20,24,480,377,43676,1
combatarena_l5_1,20,24,480,381,44932,1
combatarena_l5_2,20,24,480,381,44412,1
combatarena_l5_3,20,24,480,381,45308,1
combatarena_l5_4,20,24,480,381,45016,1
combatarena_l5_5,20,24,480,381,44388,1
combatarena_l6_1,20,24,480,372,43592,1
combatarena_l6_2,20,24,480,372,44396,1
combatarena_l6_3,20,24,480,372,44640,1
combatarena_l6_4,20,24,480,372,44556,1
combatarena_l6_5,20,24,480,372,44028,1
combatarena_l7_1,20,24,480,385,43096,1
combatarena_l7_2,20,24,480,363,43204,1
combatarena_l7_3,20,24,480,385,43440,1
combatarena_l7_4,20,24,480,385,43368,1
combatarena_l7_5,20,24,480,387,43792,1
combatarena_l8_1,20,24,480,376,47196,1
combatarena_l8_2,20,24,480,376,47292,1
combatarena_l8_3,20,24,480,376,47580,1
combatarena_l8_4,20,24,480,382,47508,1
combatarena_l8_5,20,24,480,376,47248,1
combatarena_l9_1,20,24,480,373,42532,1
combatarena_l9_2,20,24,480,373,42420,1
combatarena_l9_3,20,24,480,373,42460,1
combatarena_l9_4,20,24,480,373,43872,1
combatarena_l9_5,20,24,480,373,42644,1
combatarenadev_test1,20,24,480,373,51120,1
combatarenadev_test2,20,24,480,377,49764,1
combatarenal4_1,20,24,480,355,47468,1
combatarenalayout_0_main,20,24,480,356,33956,1
combatarenalayout_10_court,20,24,480,355,40480,1
combatarenalayout_11_funnel,20,24,480,361,40792,1
combatarenalayout_12_cordillera,20,24,480,348,39100,1
combatarenalayout_13_battleground,20,24,480,351,41196,1
combatarenalayout_14_plateau,20,24,480,360,41832,1
combatarenalayout_15_fourcorners,20,24,480,349,41284,1
combatarenalayout_16_crossroad,20,24,480,374,42296,1
combatarenalayout_17_fragments,20,24,480,381,41416,1
combatarenalayout_18_fences,20,24,480,358,41048,1
combatarenalayout_19_puddles,20,24,480,376,40204,1
combatarenalayout_1_flood,20,24,480,392,39644,1
combatarenalayout_20_boneyard,20,24,480,367,44572,1
combatarenalayout_21_pentagon,20,24,480,353,40092,1
combatarenalayout_22_thornygarden,20,24,480,372,45484,1
combatarenalayout_23_pathways,20,24,480,397,43236,1
combatarenalayout_23_pathways_old,20,24,480,397,40868,1
combatarenalayout_24_tunnel,20,24,480,389,45364,1
combatarenalayout_24_tunnel_old,20,24,480,388,42916,1
combatarenalayout_25_chickenfeet,20,24,480,361,42412,1
combatarenalayout_25_chickenfeet_old,20,24,480,363,39652,1
combatarenalayout_26_claustrophobic,20,24,480,388,41184,1
combatarenalayout_27_conclave,20,24,480,364,41688,1
combatarenalayout_27_conclave_old,20,24,480,363,40740,1
